Key,weightNH4,Denit fromNO2- (nM/day),weightNO3,Station,Nitrification (nM/day),Hybrid2 (nM/day),Denit from NO3- (nM/day),Feature,cost,f,iteration,weightNO2,Denit from NO2- (nM/day)
PS3Interface,0.45,,0.45,PS3,0.0001219075719608,0.0006814903702212,0.1085550231834107,Interface,9.331231931270189,1.0,5,0.1,0.0
PS3Interface,0.45,,0.45,PS3,2.512524168346793e-06,0.0,0.1187338452983284,Interface,9.3361393439581,1.0,1,0.1,0.0
PS3Interface,0.45,,0.45,PS3,8.799432341138582e-05,0.0,0.0950370347103104,Interface,9.340294688298766,1.0,14,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1035099646255949,Interface,9.326528745630764,0.999905183473974,10,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0001138322062371,0.0,0.1047988561753326,Interface,9.326163522262444,0.9999788741574068,9,0.1,0.0
PS3Interface,0.45,,0.45,PS3,9.438661995846728e-05,9.259024195959572e-05,0.1292323087504269,Interface,9.347955271135763,1.0,16,0.1,0.0
PS3Interface,0.45,,0.45,PS3,9.847543314421609e-05,0.0005941104765684,0.090303423544378,Interface,9.312655562542416,1.0,21,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.0950190965948234,Interface,9.335823838212455,0.0,18,0.1,0.0
PS3Interface,0.45,,0.45,PS3,3.4511600787535005e-05,0.0,0.1056760273869784,Interface,9.338929067261873,1.0,24,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1018164870155899,Interface,9.327135950759148,0.9384381786010974,4,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1223200023815587,Interface,9.331107542682108,0.4428169820675519,19,0.1,0.0
PS3Interface,0.45,,0.45,PS3,4.0254763750582575e-08,4.633359397390234e-05,0.0978099755873194,Interface,9.317750869270204,1.0,6,0.1,0.0
PS3Interface,0.45,,0.45,PS3,2.1902700981087355e-06,0.000697324631795,0.1088928266069511,Interface,9.342731706494426,1.0,23,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.000905444001991,0.0892580090340624,Interface,9.309175751351647,0.9985329255055266,8,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,1.7971532980628034e-14,0.1157727092182401,Interface,9.322911728564756,1.0,11,0.1,0.0
PS3Interface,0.45,,0.45,PS3,1.9346694609924223e-05,0.0,0.1040175750666404,Interface,9.322363703989549,1.0,29,0.1,0.0
PS3Interface,0.45,,0.45,PS3,4.624243309497787e-15,4.997748757722161e-15,0.1042668126159785,Interface,9.3316267548453,0.9792188717550504,15,0.1,0.0
PS3Interface,0.45,,0.45,PS3,2.3984547319979322e-09,0.0,0.1119517624009935,Interface,9.330725104925415,0.99964738227935,25,0.1,0.0
PS3Interface,0.45,,0.45,PS3,1.5961114024245936e-05,0.0002746607035472,0.0999757739511513,Interface,9.315102776981902,1.0,31,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1016025796989835,Interface,9.320243793953123,0.1340551985082053,2,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1120948834348909,Interface,9.324273581483284,0.0101271429854684,26,0.1,0.0
PS3Interface,0.45,,0.45,PS3,3.44861438843176e-15,0.0,0.1379288397546098,Interface,9.344629318775477,0.4940705058845488,7,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0008402118945687,0.1003754594144397,Interface,9.338645670556543,0.9999080643079212,27,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1062789968856305,Interface,9.333901315222196,0.996112446917178,20,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.107185571922121,Interface,9.31781589156349,0.0585558562714403,13,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0007322250955803,0.0832071361712726,Interface,9.304883011533144,0.9994430403497114,12,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1492016928695893,Interface,9.338357939678788,0.998564154907946,32,0.1,0.0
PS3Interface,0.45,,0.45,PS3,6.872614002275587e-09,7.980112056353811e-07,0.100233158437072,Interface,9.308913189104825,0.9999504271614847,36,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1330846258643246,Interface,9.32406569145872,0.9123388117041092,22,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1017082972353699,Interface,9.31081962213934,0.0,39,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.098390732924874,Interface,9.337316100269016,0.9321904119909348,17,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.0966909805629863,Interface,9.324171487221824,0.8919613222857674,30,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,8.206334336081715e-15,0.1195767434543983,Interface,9.316191695284989,0.9958778820051164,3,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,2.685803874272429e-11,0.1439940986708168,Interface,9.32806056613824,0.0,0,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1406484655719216,Interface,9.32506166241754,0.0,41,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1044218292529141,Interface,9.316396328506098,1.0,46,0.1,0.0
PS3Interface,0.45,,0.45,PS3,7.283958049748538e-05,1.8686449365851872e-05,0.1238652919049035,Interface,9.356267727307449,1.0,49,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0006477150085558,0.1244346047150596,Interface,9.310589502039775,0.9999123088370788,35,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1123814361029784,Interface,9.3175392174345,0.9852665422665892,33,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1121282059420827,Interface,9.32998497882626,1.0,51,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.091639638765373,Interface,9.323312288181569,0.0130733204842536,37,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1033113256128538,Interface,9.311039231420658,0.9761831124463308,44,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0007590981982448,0.1230105315158081,Interface,9.332114742827615,0.9995526843664736,34,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1236376726483722,Interface,9.316581564017532,0.6008948607161226,43,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1093207366214164,Interface,9.33901009154459,0.6751700148796084,42,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0008776107216988,0.1063464955523829,Interface,9.308373782359752,0.9999145009167688,40,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.0869212792277167,Interface,9.324013663215798,0.985983811512356,48,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.0968132014116871,Interface,9.334233011119938,0.0356154504302727,28,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,1.2155856167350294e-14,0.1161170973171858,Interface,9.318473436332152,0.7592438302639277,38,0.1,0.0
PS3Interface,0.45,,0.45,PS3,4.2016161554547706e-05,0.0006032601658632,0.080435316417471,Interface,9.300639863216704,1.0,63,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1108491167285623,Interface,9.331817826857932,1.0,54,0.1,0.0
PS3Interface,0.45,,0.45,PS3,4.706426469924199e-12,1.0216461366300503e-10,0.1067119230592168,Interface,9.32798638839684,0.9999315353725268,57,0.1,0.0
PS3Interface,0.45,,0.45,PS3,3.2561455846885524e-14,1.1524883635269158e-13,0.1201616192134103,Interface,9.32005659426195,0.8884940494740586,52,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.0860915241387627,Interface,9.321172004212286,0.9985986724140188,55,0.1,0.0
PS3Interface,0.45,,0.45,PS3,8.077166973606716e-05,0.0,0.1328734643862766,Interface,9.326843780629227,1.0,66,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1452671956533669,Interface,9.3333509838095,0.9999217121614664,61,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0001438985578886,3.8357981564917215e-05,0.1228426540144189,Interface,9.325618596468155,1.0,67,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.119976763596595,Interface,9.30956962905354,0.8967452268893903,50,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,3.637979571431666e-15,0.1151476384333006,Interface,9.335464990802253,0.0346564983064334,45,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1152915988240776,Interface,9.31367763264031,0.9999839135809157,60,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,1.7023848889749892e-06,0.1040655064082619,Interface,9.315379138577349,0.0,65,0.1,0.0
PS3Interface,0.45,,0.45,PS3,6.876633429739265e-05,0.0003719621492478,0.0986719777645089,Interface,9.312412835247834,1.0,69,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.0837254163186703,Interface,9.308164622511802,0.5765845479915537,53,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.0903965040308873,Interface,9.312922609328703,0.4073920250818498,56,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1078440338149948,Interface,9.336290745306645,0.6364579703152533,62,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1015203253229701,Interface,9.311477070338752,0.9869136809862796,58,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.0883635627259721,Interface,9.343500251304942,0.7924657562558765,47,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1006764167704786,Interface,9.310595705201797,0.7219597674712623,64,0.1,0.0
PS3Interface,0.45,,0.45,PS3,1.187015245583944e-06,1.8724575321346763e-06,0.0789417889386201,Interface,9.305968241101793,0.999905812204148,70,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0001140509559499,0.0003687929297697,0.1022545963644037,Interface,9.336712695741465,1.0,81,0.1,0.0
PS3Interface,0.45,,0.45,PS3,9.819814830248188e-05,0.0002184443059852,0.1349833488137873,Interface,9.35895346913342,1.0,74,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1120410708653445,Interface,9.311361879344938,0.9577247974755942,59,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1024461009985591,Interface,9.31965244321821,0.6880804297420724,71,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1139668944458369,Interface,9.31136791403072,0.9999005030194807,83,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.000141732721008,0.0004237621075697,0.0951921902642808,Interface,9.347183569108196,1.0,87,0.1,0.0
PS3Interface,0.45,,0.45,PS3,5.171514437576337e-10,3.818803322710929e-09,0.1118205171596289,Interface,9.30418112659994,0.9999935585723148,68,0.1,0.0
PS3Interface,0.45,,0.45,PS3,1.606605145595896e-06,8.126867967687032e-06,0.1281855396412637,Interface,9.308859613369796,0.0,79,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0001520960090044,3.320686194076216e-05,0.0901014478160434,Interface,9.331170071973084,1.0,91,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,4.675552323319593e-06,0.0859530204824415,Interface,9.335263915157052,1.0,85,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,1.0176516542118128e-07,0.1054540741967946,Interface,9.333333641242728,1.0,73,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.000700471203152,0.1383980407297791,Interface,9.33014880857578,0.9998975387879846,86,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1042547909317981,Interface,9.322053366308712,0.9771695081361124,75,0.1,0.0
PS3Interface,0.45,,0.45,PS3,4.241639300393417e-07,8.452668195199658e-07,0.1382624461064741,Interface,9.335924005552712,1.0,72,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.0987999833006443,Interface,9.3352412768358,0.9625449549979536,84,0.1,0.0
PS3Interface,0.45,,0.45,PS3,1.4957725103014341e-07,0.0,0.0876491873632241,Interface,9.318472346268532,1.0,93,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.0934478242598666,Interface,9.307094652972022,0.9649036342989624,80,0.1,0.0
PS3Interface,0.45,,0.45,PS3,1.3505247924455698e-13,0.0,0.1131252794824044,Interface,9.316205933703928,0.6414741195346564,82,0.1,0.0
PS3Interface,0.45,,0.45,PS3,3.479918425436263e-05,0.0009266291538634,0.091286697065127,Interface,9.311001939288442,1.0,90,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.0843099774459137,Interface,9.336047453020884,0.9971648578750008,88,0.1,0.0
PS3Interface,0.45,,0.45,PS3,9.561415345234872e-09,3.817899204871016e-08,0.0936287501291922,Interface,9.326866147933297,0.9999657122228456,95,0.1,0.0
PS3Interface,0.45,,0.45,PS3,1.8671213311724588e-05,0.0,0.0835089877320831,Interface,9.323638193880546,1.0,98,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.0995990542039783,Interface,9.314705050792082,0.9995917091874396,76,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1175333591680425,Interface,9.33640331821535,0.6416743996605715,89,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.0917117095713542,Interface,9.321533883759198,0.8234075883976881,94,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.0964075396947414,Interface,9.309214816860605,0.6863503733816952,77,0.1,0.0
PS3Interface,0.45,,0.45,PS3,5.662535140136136e-08,5.639579805206717e-08,0.1289767969734182,Interface,9.308966241628085,0.0,92,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0007475297418764,0.1104343481713553,Interface,9.31093299711921,1.0,99,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1274924095768015,Interface,9.334558735508889,0.671257998592462,78,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1100824006068915,Interface,9.32410156922352,0.3712714228920409,97,0.1,0.0
PS3Interface,0.45,,0.45,PS3,4.651667981915485e-15,0.0,0.11402514998549562,Interface,9.344237990431749,0.970315523147461,96,0.1,0.0
